OverallRating,Comment,FeedbackCategory,Subcategory
4,"It was difficult to find a ""free book"".  The one I chose for $5, the website said was not eligible.  Don't know why it wasn't.",Bonus Points/Rewards/Promos,General/Unspecified
4,It wouldn't let me enter my $5 free book.,Bonus Points/Rewards/Promos,General/Unspecified
3,Trying to apply discounts.,Bonus Points/Rewards/Promos,General/Unspecified
1,The code says expired. ,Bonus Points/Rewards/Promos,General/Unspecified
3,Always have a little trouble submitting my free book selection,Bonus Points/Rewards/Promos,General/Unspecified
5,I didn’t get the promo code to work,Bonus Points/Rewards/Promos,General/Unspecified
4,The coupon code for a free book expired before the book order is even due. That’s frustrating!,Bonus Points/Rewards/Promos,General/Unspecified
4,The $10 to spend right now window was not available,Bonus Points/Rewards/Promos,General/Unspecified
1,I couldnt use the READS coupon code.,Bonus Points/Rewards/Promos,READS
5,The READS coupon didn’t work :(,Bonus Points/Rewards/Promos,READS
4,My students really like the paper flyers but we have not received any this school year.  Will they be sent in the future?,Uncategorized,Kits
3, It would be nice to have received physical copies of flyers.,Uncategorized,Kits
3,Looking for a connection to order flyers  sent to my school.  In previous years they were automatically sent to my school.  This year they  were not. I would like flyers for Early Childhood and Firefly.,Uncategorized,Kits
4,I didn't receive my October catalogs.  So I'm requesting them now.  I figured they would be sent out automatically each month!!!,Uncategorized,Kits
5,I am not sure that I fixed my problem.  I have not been receiving flyers this year. in  they will start coming!,Uncategorized,Kits
4,"I would love the flyers to be sent out again. It is a great way to help those purchase books, by seeing the item.",Uncategorized,Kits
5,"I still order books to use with students, but I don't need you to send me class flyers.  Is there a way for me to do this?",Uncategorized,Kits
4, I do not need any flyers right now and need to stop them from being mailed to me at my school.,Uncategorized,Kits
4,Need to make sure that I will be receiving my flyers at my site this year for each month. They did not come directly to me but came in bundles with other schools from the district in it. I often missed the flyers altogether because they never arrived at our site and I would have to call scholastic to send the flyers directly to me and that took a few days for them to arrive.,Uncategorized,Kits
4,She has half the day in spanish. I wish that the Leo flier was more often.  I think you should market your Leo flier to teachers that are DLI.,Uncategorized,Kits
5,"I haven't tried to get those catalogues yet, so I'm not sure if I'll be successful.",Uncategorized,Kits
1, I just want flyers to send to my students and have no way to access it or request flyers.,Uncategorized,Kits
4,"Since the pandemic, I have not been getting the student flyers sent to school.  I REALLY want them to generate more orders.  PLEASE send them to school. still have not received the paper flyers.",Uncategorized,Kits
4,I want to know how to get flyers,Uncategorized,Kits
5,"hi just got the flyers i requested but I guess I didn't ask for the Lucky flyers or any that would be good for second graders.    In the future could you please send me any flyers See Saw, Lucky, you can be a reader, that  second graders would order from...  Thanks   ",Uncategorized,Kits
1,stop producing sooooo many flyers that I simply recycle. Stop!!!!!,Uncategorized,Kits
3,I still appreciate the tactile sense of browsing the printed Scholastic book order flyer.,Uncategorized,Kits
2,"I simply wanted to change the number of fliers I'm receiving since I have a larger class this year.  I needed to go the the ""arrow"". When I asked what arrow, she said scroll down to the bottom of the screen, for teachers, and select catalogs. There I find I need to order specific catalogs for a one-time order. ",Uncategorized,Kits
4,I have asked for a 4th grade flyer but have not received one- most of my parents need the paper flyer,Uncategorized,Kits
3,I need to have flyers sent to me as I never got any and would like to make a class order. I can't find how to have flyers sent ,Uncategorized,Kits
4,"Some item numbers didn’t match the flyers, but overall,",Uncategorized,Kits
3,the number are not the same as in the flyer.,Uncategorized,Kits
4,"I was looking for a way to request paper, book order catalogs to hand out to my students.",Uncategorized,Kits
2,I have now filled out the request for paper flyers twice. Please follow through and send them soon.,Uncategorized,Kits
1,"The flyer from the teacher, does NOT match on-line.",Uncategorized,Kits
